Product_key	Название товара	Название бренда	Группа товара
3489_32_23	"Текстильный клей ""Textil Potch"" 150мл"	Kreul	ДПИ-Направления-Ткань-ВС
3490_9_120	"Карандаш акварельный ""Albrecht Durer"", (№219), красный скарлет темный"	Faber-Castell	Графические материалы-акварельные-штуки
3491_123_297	Мольберт тренога с планшетом M/26 h: min 84 max 200 3,3кг холст: мах 102 4кг	Mabef	Мольберты-Треноги
3492_60_140	Голова Афродиты Книдос, гипс скульптурный, 495мм, белый	Статуя	Гипс-Головы
3493_60_140	Голова Дорифора, гипс скульптурный	Статуя	Гипс-Головы
3494_6_120	"Карандаш для набросков ""Artists"", водоразмыв., 8В"	Daler-rowney	Графические материалы-акварельные-штуки
3495_6_281	"Карандаш эскизный ""Artists"", водоразмыв., сепия светлая"	Daler-rowney	Графические материалы-мягкие прочие-сангина, сепия, мел
3496_18_5	"Контур по ткани ""Decola"", туба 18мл, белый перламутровый (цв.№105)"	ЗХК	z-Уценка
3497_1_91	Кисть щетина плоская b=6,0мм L=12мм сер.1622 №06	Живописные кисти	Кисти-Масло, Акрил- Щетина
3498_33_73	Набор пастели (60цв.), картон.упаковка	Подольск Арт-Центр	Графические материалы-пастель-сухая
3499_95_226	"Акрил ""Stone creations"", аэрозоль 340г, галька (цв.№7995)"	Rust-Oleum	z-Уценка группы 15.12.2009г. Акрил-вывод
3500_62_99	Мозаика 5х5мм бирюзовый №121 пласт.упаковка 10г	Marianne Hobby	ДПИ-Направления-Мозаика, смальта-тессеры, наборы
3501_46_99	Мозаика 5х5х3мм лимонный №160 пласт.упаковка 10г	Rayher	ДПИ-Направления-Мозаика, смальта-тессеры, наборы
3502_12_164	"Акрил ""Idea"", аэрозоль 200мл, коричневый (цв.№472)"	Maimeri	Живопись-Акрил аэрозоль Maimeri Idea 
3503_18_192	"Акварель ""Белые ночи"", кювета 2.5мл, охра жёлтая (цв.№218)"	ЗХК	Живопись-акварель-тубы/кюветы
3504_9_160	"Карандаш цветной проф. ""Polychromos"", бистер темно-коричневый (цв №179)"	Faber-Castell	Графические материалы-полихромные-штуки
3505_9_160	"Карандаш цветной проф. ""Polychromos"", мокрый серый (цв №270)"	Faber-Castell	Графические материалы-полихромные-штуки
3506_9_160	"Карандаш цветной проф. ""Polychromos"", умбра жженая (цв №280)"	Faber-Castell	Графические материалы-полихромные-штуки
3507_2_3	"Кисть синтетика круглая ""Вернисаж"" серия 211 №07"	Гамма	Кисти-Масло-Синтетика
3508_2_3	"Кисть синтетика круглая d=4,60мм L=22мм ""Галерея"" серия 201 №09"	Гамма	Кисти-Масло-Синтетика
3509_20_89	Кисть белка круглая d=4,5мм L=22мм сер. 2001-1 №08	ХМ	Кисти-Акварель-Белка
3510_98_286	"Книга серия Шаг за шагом: Уроки живописи 1 Смит Р. К. ""Постройки в акварели"""	изд. Кристина&К	Литература-Практические руководства по живописи и рисунку-Натюрморт/пейзаж
3511_104_305	Тубус, телескопический малый от 40см до 70см, пластик, зеленый	Domingo Ferrer	Сумки-Тубусы
3512_63_138	"Маркер для белья ""Edding 8040"", d:1мм, черный"	Edding	Графические материалы-маркеры-маркеры
3513_2_299	Гуашь, банка 75мл, перламутровый, зеленый (цв.№902)	Гамма	Живопись-гуашь, Гамма, банка 75мл, перламутровый
3514_2_299	Гуашь, банка 75мл, перламутровый, золотой (цв.№910)	Гамма	Живопись-гуашь, Гамма, банка 75мл, перламутровый
3515_2_299	Гуашь, банка 75мл, перламутровый, красно-фиолетовый (цв.№904)	Гамма	Живопись-гуашь, Гамма, банка 75мл, перламутровый
3516_2_299	Гуашь, банка 75мл, перламутровый, красный (цв.№903)	Гамма	Живопись-гуашь, Гамма, банка 75мл, перламутровый
3517_2_299	Гуашь, банка 75мл, перламутровый, серебряный (цв.№912)	Гамма	Живопись-гуашь, Гамма, банка 75мл, перламутровый
3518_2_299	Гуашь, банка 75мл, перламутровый, фиолетовый (цв.№907)	Гамма	Живопись-гуашь, Гамма, банка 75мл, перламутровый
3519_2_90	"Кисть щетина овальная ""Пейзаж"" серия 116 №08"	Гамма	Кисти-Универсальные-Щетина
3520_84_199	"Книга серия Уроки для начинающих ""Рисуем по фотографии. Шаг за шагом"""	изд. АСТ	Литература-я Вывод/снято с производства
3521_84_286	"Книга серия Уроки рисунка и живописи Пауэлл У.Ф. ""Пишем облака и небо"""	изд. АСТ	Литература-Практические руководства по живописи и рисунку-Натюрморт/пейзаж
3522_85_176	"Краска для граффити ""Montana"" цв.№ 1080 зеленый саванна"	L&G Vertriebs	ДПИ-Направления-Граффити-краски
3523_19_108	"Альбом для эскизов крафт-картон 070г/кв.м, 210х210мм, 40л ""Дерево"""	СПБФ Гознака	Бумага рисовальная-блоки, альбомы
3524_20_89	Кисть белка круглая d=5,0мм L=23мм сер. 2001-1 №09	ХМ	Кисти-Акварель-Белка
3525_90_89	Кисть белка круглая серия ЖБП №05	Подольск	Кисти-Акварель-Белка
3526_20_96	Кисть белка круглая серия С-1800 №03	ХМ	Кисти-Универсальные-Белка
3527_9_61	Ластик для чернограф., цв.карандашей и чернил, винил, 42х19х11	Faber-Castell	Графические материалы-инструменты-ластики
3528_9_61	Ластик для чернограф., цв.карандашей и чернил, винил, 61х22х12	Faber-Castell	Графические материалы-инструменты-ластики
3529_29_15	"Набор цветных карандашей, 6цв., картон.упаковка,""Progresso"""	Koh-i-Noor	Графические материалы-полихромные-наборы 
3530_80_182	Холст на подрамнике лен100%, мелкозернистый 80х100см	Туюкан	Основы-холст на подрамнике-Базовый
3531_2_41	Кисть щетина флейц серия 190 №30	Гамма	Кисти-Специальные-Щетина
3532_95_226	"Акрил ""Designer Metallic"", аэрозоль 312г, классическая бронза"	Rust-Oleum	z-Уценка группы 15.12.2009г. Акрил-вывод
3533_12_43	"Акрил ""Polycolor"", банка 140мл сер.1 чёрный слюдяной (цв.№541)"	Maimeri	Живопись-Акрил стандарт - Polycolor Maimeri банка
3534_56_306	"Акрил художественный ""Basic Acryl"", флакон 25мл, алый"	Marabu	Живопись-Акрил стандарт - Basic Acryl Maraby
3535_3_268	Манекен мужской, 40см	Сонет	Мебель, оборудование-Манекены
3536_79_182	Холст на подрамнике лен, мелкозернистый 30х50см	Круглов А.Г.	Основы-холст на подрамнике-Базовый
3537_9_120	"Карандаш акварельный ""Albrecht Durer"", (№235), серый холодный 6"	Faber-Castell	Графические материалы-акварельные-штуки
3538_16_131	"Акрил ""Acrilic Master"", туба 60мл, чёрная слоновая кость (цв.№50)"	Ferrario	Живопись-Акрил проф -Acrilic master Ferrario
3539_2_3	"Кисть синтетика круглая d=2,90мм L=16мм ""Манеж"" серия 221 №05"	Гамма	Кисти-Масло-Синтетика
3540_16_146	"Мастихин ""Ара"", №4"	Ferrario	Живопись - инструменты-Мастихины
3541_48_251	Зажим для бумаг, 19мм, черный	Proff	Живопись - инструменты-Разное
3542_18_29	"Склейка д/рисов. цел.100% 200г/кв.м 300х400мм 20л ""Белые Ночи"""	ЗХК	Бумага акварель-блоки-студия
3543_2_98	Чернограф. карандаш 4В	Гамма	z-Нет поставок больше 6-ти месяцев
3544_6_130	"Чернограф.карандаш 5B ""Artists"""	Daler-rowney	Графические материалы-чернографитовые-штуки
3545_14_21	"Бумага пастельная 160г/кв.м, 210х297мм ""Colours"" белый (№100)"	Lana	Бумага пастель-листы-студия
3546_14_21	"Бумага пастельная 160г/кв.м, 210х297мм ""Colours"" светло-синий (№136)"	Lana	Бумага пастель-листы-студия
3547_32_118	Набор салфеток д\декупажа 33х33см морские мотивы 6 мотивов по 2шт	Kreul	ДПИ-Направления-Декупаж-салфетки
3548_4_239	Рама 30х40см, сосна неокрашенная, серия С 2, профиль прямой	Двуреченский	Подрамники, рамы-рамы-неокрашенные без стекла
3549_4_239	Рама 30х40см, сосна неокрашенная, серия С 6, профиль прямой	Двуреченский	Подрамники, рамы-рамы-неокрашенные без стекла
3550_12_43	"Акрил ""Polycolor"", банка 140мл сер.1 белила платиновые (цв.№017)"	Maimeri	Живопись-Акрил стандарт - Polycolor Maimeri банка
3551_12_43	"Акрил ""Polycolor"", банка 140мл сер.1 серый пейна (цв.№514)"	Maimeri	Живопись-Акрил стандарт - Polycolor Maimeri банка
3552_12_302	"Акрил ""Polycolor"", банка 140мл, пастель ван-дик коричневый (цв.№484)"	Maimeri	Живопись-Акрил стандарт - Polycolor Pastell  Maimeri
3553_12_302	"Акрил ""Polycolor"", банка 140мл, пастель сиена жженая (цв.№278)"	Maimeri	Живопись-Акрил стандарт - Polycolor Pastell  Maimeri
3554_12_302	"Акрил ""Polycolor"", банка 140мл, пастель сиена натуральная (цв.№161)"	Maimeri	Живопись-Акрил стандарт - Polycolor Pastell  Maimeri
3555_12_302	"Акрил ""Polycolor"", банка 140мл, пастель умбра жженая (цв.№492)"	Maimeri	Живопись-Акрил стандарт - Polycolor Pastell  Maimeri
3556_12_302	"Акрил ""Polycolor"", банка 140мл, пастель умбра натуральная (цв.№493)"	Maimeri	Живопись-Акрил стандарт - Polycolor Pastell  Maimeri
3557_12_190	Добавка: блескообразователь, флакон стекло 75мл, №622	Maimeri	ВС акрил пасты, гели, присадки для эффектов
3558_14_21	"Бумага пастельная 160г/кв.м, 210х297мм ""Colours"" желтый (№131)"	Lana	Бумага пастель-листы-студия
3559_14_21	"Бумага пастельная 160г/кв.м, 210х297мм ""Colours"" охра (№150)"	Lana	Бумага пастель-листы-студия
3560_6_8	"Бумага пастельная 160г/кв.м, 210х297мм ""Murano"" аквамарин (№013)"	Daler-rowney	Бумага пастель-листы-стандарт
3561_13_10	"Бумага пастельная 160г/кв.м, 210х297мм ""Tiziano"" оранжевый (№21)"	Fabriano	Бумага-вывод- из серий_Уценка группы
3562_117_294	"Книга Терешина Г.В. ""Батик своми руками"""	изд. АСТ-Пресс	Литература- Материалы и техники-Батик
3563_39_5	"Краска по светлой х/б ткани ""Текстиль"", банка 50мл, джинсовый голубой (цв.№094)"	Lefranc&Bourgeois	z-Уценка
3564_39_5	"Краска по светлой х/б ткани ""Текстиль"", банка 50мл, коралловый (цв.№332)"	Lefranc&Bourgeois	z-Уценка
3565_39_5	"Краска по светлой х/б ткани ""Текстиль"", банка 50мл, лютиковый (цв.№177)"	Lefranc&Bourgeois	z-Уценка
3566_39_5	"Краска по тёмной х/б ткани ""Текстиль"", банка 50мл, зелёный лагуна (цв.№495)"	Lefranc&Bourgeois	z-Уценка
3567_39_5	"Краска по тёмной х/б ткани ""Текстиль"", банка 50мл, зелёный листва (цв.№494)"	Lefranc&Bourgeois	z-Уценка
3568_39_5	"Краска по тёмной х/б ткани ""Текстиль"", банка 50мл, лимон (цв.№148)"	Lefranc&Bourgeois	z-Уценка
3569_39_5	"Краска по тёмной х/б ткани ""Текстиль"", банка 50мл, электрический голубой (цв.№03"	Lefranc&Bourgeois	z-Уценка
3570_18_5	"Краска по ткани ""Decola"", банка 50мл, изумрудный (цв.№720)"	ЗХК	z-Уценка
3571_18_5	"Краска по ткани ""Decola"", банка 50мл, медь (цв.№964)"	ЗХК	z-Уценка
3572_18_5	"Краска по ткани ""Decola"", банка 50мл, небесно-голубой (цв.№512)"	ЗХК	z-Уценка
3573_18_5	"Краска по ткани ""Decola"", банка 50мл, оливковый (цв.№727)"	ЗХК	z-Уценка
3574_18_5	"Краска по ткани ""Decola"", банка 50мл, перламутровый, черный (цв.№810)"	ЗХК	z-Уценка
3575_18_5	"Краска по ткани ""Decola"", банка 50мл, розовый светлый (цв.№335)"	ЗХК	z-Уценка
3576_18_5	"Краска по ткани ""Decola"", банка 50мл, фиолетовый темный (цв.№606)"	ЗХК	z-Уценка
3577_114_101	Клей-липучка многоразовый для временной фиксации аэрозоль 290г	Krylon	ДПИ-Клей-Карандаши, липучка
3578_56_159	"Фиксатив лак ""Fixativ"",  аэрозоль 400мл"	Marabu	ВС графика покрывные
3579_102_249	Холст, ширина 2.10м, негрунт., крупнозернистый, лен 100%/цена за метр	Гаврилов Ям	Основы-Холст негрунтованный
3580_1_4	Кисть синтетика круглая серия 1212 №02	Живописные кисти	Кисти-Акварель-Синтетика
3581_3_146	"Мастихин ""Сонет"", №1023"	Сонет	Живопись - инструменты-Мастихины
3582_84_307	"Книга серия Школа живописи Крошоу Э. ""Живопись масляными красками"""	изд. АСТ	Литература-Практические руководства по живописи и рисунку-Масло
3583_124_69	"Книга Хиллер Б., Эскритт ""Стиль Ар Деко"""	изд. Искусство XXI век	Литература-Подарочные издания
3584_7_123	Бумага пастельная 160г/кв.м 500х650мм Mi-Teintes №595 бирюзовый	Canson	Бумага пастель-листы-профи
3585_6_8	"Бумага пастельная 160г/кв.м, 500х650мм ""Murano"" баклажановый (№002)"	Daler-rowney	Бумага пастель-листы-стандарт
3586_6_8	"Бумага пастельная 160г/кв.м, 500х650мм ""Murano"" кобальтовый (№011)"	Daler-rowney	Бумага пастель-листы-стандарт
3587_6_8	"Бумага пастельная 160г/кв.м, 500х650мм ""Murano"" стальной серый (№029)"	Daler-rowney	Бумага пастель-листы-стандарт
3588_13_10	"Бумага пастельная 160г/кв.м, 500х650мм ""Tiziano"" ирис (№45)"	Fabriano	Бумага-вывод- из серий_Уценка группы
3589_13_123	"Бумага пастельная 160г/кв.м, 500х650мм ""Tiziano"" лиловый (№33)"	Fabriano	Бумага пастель-листы-профи
3590_9_110	"Карандаш пастельный ""Pitt"", №157, индиго темный"	Faber-Castell	Графические материалы-пастельные карандаши-штуки
3591_9_110	"Карандаш пастельный ""Pitt"", №175, сепия темная"	Faber-Castell	Графические материалы-пастельные карандаши-штуки
3592_9_110	"Карандаш пастельный ""Pitt"", №181, серый темный"	Faber-Castell	Графические материалы-пастельные карандаши-штуки
3593_9_110	"Карандаш пастельный ""Pitt"", №199, черный"	Faber-Castell	Графические материалы-пастельные карандаши-штуки
3594_2_175	"Кисть синтетика лайнер d=1,25мм L=22мм ""Галерея"" серия 202 №000"	Гамма	Кисти-Специальные-Синтетика
3595_84_199	"Книга Крошоу Э. ""Как рисовать пейзажи акварелью"""	изд. АСТ	Литература-я Вывод/снято с производства
3596_84_199	"Книга серия Энциклопедия художника Айзенбарт Б. ""Полный курс акварели"""	изд. АСТ	Литература-я Вывод/снято с производства
3597_59_284	Кнопки-гвоздики, цветные, в пласт.коробке, 60шт.	Herlitz	Канцелярские товары-Кнопки, скрепки
3598_118_128	Точилка с прозрачным контейнером, пластик, однодиаметровая	Eisen	Графические материалы-инструменты-точилки
3599_54_130	"Чернограф.карандаш 4B ""Art Design"""	Lyra	Графические материалы-чернографитовые-штуки
3600_54_130	"Чернограф.карандаш 6B ""Art Design"""	Lyra	Графические материалы-чернографитовые-штуки
3601_54_130	"Чернограф.карандаш 9B ""Art Design"""	Lyra	Графические материалы-чернографитовые-штуки
3602_6_31	"Акрил туба 75мл ""System3"" флуоресцентный оранжевый (цв.№653)"	Daler-rowney	Живопись-Акрил стандарт - System3 DR туба
3603_2_1	"Кисть колонок круглая d=0,96мм L=10мм ""Маэстро"" серия 421 №01"	Гамма	Кисти-Акварель-Колонок-Соболь
3604_18_192	"Акварель ""Белые ночи"", кювета 2.5мл, голубой (цв.№513)"	ЗХК	Живопись-акварель-тубы/кюветы
3605_18_192	"Акварель ""Белые ночи"", кювета 2.5мл, кадмий жёлтый средний (цв.№201)"	ЗХК	Живопись-акварель-тубы/кюветы
3606_18_192	"Акварель ""Белые ночи"", кювета 2.5мл, сиена натуральная (цв.№405)"	ЗХК	Живопись-акварель-тубы/кюветы
3607_105_24	Линейка , металл, 100см	"ТПК ""Пчелка"""	Черчение-Линейки
3608_27_104	"Акрил ""Арт"", банка 100мл сер.1 сиена жжёная"	Таир	Живопись-Акрил студия - Арт Таир банка
3609_27_104	"Акрил ""Арт"", банка 100мл сер.1 сиена натуральная"	Таир	Живопись-Акрил студия - Арт Таир банка
3610_27_104	"Акрил ""Арт"", банка 100мл сер.1 умбра натуральная"	Таир	Живопись-Акрил студия - Арт Таир банка
3611_1_89	Кисть белка плоская b=18,0мм L=24мм сер. 1422 №18	Живописные кисти	Кисти-Акварель-Белка
3612_2_175	"Кисть синтетика лайнер ""Галерея"" серия 202 №02"	Гамма	Кисти-Специальные-Синтетика
3613_2_175	"Кисть синтетика лайнер d=1,70мм L=23мм ""Галерея"" серия 202 №0"	Гамма	Кисти-Специальные-Синтетика
3614_32_118	Набор салфеток д\декупажа 33х33см сад и огород 6 мотивов по 2шт	Kreul	ДПИ-Направления-Декупаж-салфетки
3615_32_118	Набор салфеток д\декупажа 33х33см тема цветы 6 мотивов по 2шт	Kreul	ДПИ-Направления-Декупаж-салфетки
3616_18_5	"Контур по ткани ""Decola"", туба 18мл, черный (цв.№810)"	ЗХК	z-Уценка
3617_32_155	"Краска по свет.ткани ""Tex Metallic"" металлик фиолетовый цв.№90971 банка 20мл"	Kreul	ДПИ-Направления-Ткань-краски, контуры
3618_32_155	"Краска по свет.ткани ""Tex Metallic"" цитрон цв.№90974 банка 20мл"	Kreul	ДПИ-Направления-Ткань-краски, контуры
3619_32_155	"Краска по ткани ""Tex Metallic"" банка 20мл антрацит цв.№90973"	Kreul	ДПИ-Направления-Ткань-краски, контуры
3620_32_155	"Краска по ткани ""Tex Metallic"" банка 20мл золото цв.№90920"	Kreul	ДПИ-Направления-Ткань-краски, контуры
3621_32_155	"Краска по ткани ""Tex Metallic"" банка 20мл медь цв.№90921"	Kreul	ДПИ-Направления-Ткань-краски, контуры
3622_32_155	"Краска по ткани ""Tex Metallic"" банка 20мл розовый цв.№90970"	Kreul	ДПИ-Направления-Ткань-краски, контуры
3623_32_155	"Краска по ткани ""Tex Metallic"" банка 20мл синий цв.№90977"	Kreul	ДПИ-Направления-Ткань-краски, контуры
3624_32_155	"Краска по ткани ""Tex Metallic"" банка 20мл сиреневый цв.№90975"	Kreul	ДПИ-Направления-Ткань-краски, контуры
3625_9_14	"Набор ручек капилярных для черчения ""Ecco Pigment"", (4шт.)"	Faber-Castell	Графические материалы-маркеры-ручки 
3626_12_43	"Акрил ""Polycolor"", банка 140мл сер.1 бронза (цв.№475)"	Maimeri	Живопись-Акрил стандарт - Polycolor Maimeri банка
3627_13_123	"Бумага пастельная 160г/кв.м 210х297мм ""Tiziano"" №46 бледно-голубой"	Fabriano	Бумага пастель-листы-профи
3628_7_9	"Бумага рисовальная ""Колорлайн"", 500х650мм, 150г/кв.м, темно-фиолетовый (№155)"	Canson	Бумага-вывод- в листах
3629_4_117	Картон переплетный 2сторонний 2мм, 920х1050мм, негрунтованный	Двуреченский	Бумага-Картон-для моделирования
3630_18_5	"Краска по ткани ""Decola"", банка 50мл, золотой (цв.№965)"	ЗХК	z-Уценка
3631_3_42	"Пластика ""Сонет"" 56г какао"	Сонет	ДПИ-Направления-Лепка-Пластика
3632_86_194	Изограф пластик, съем. пиш. узел, запр-ка тушь, 0.10мм	Rotring	Черчение-Изографы -изограф
3633_16_55	Паста моделитная , банка стекло 300мл	Ferrario	ВС прочие - расформировать
3634_86_308	Тушь для изографов, флакон 23мл, красный	Rotring	Черчение-Изографы-Тушь 
3635_12_51	"Масло краска ""Classico"", туба 60мл, белила титановые (цв.№018)"	Maimeri	Живопись-масло-студия-Classico Maimeri
3636_18_63	"Масло краска ""Сонет"", туба 46мл сер.2  ультрамарин светлый (цв.№501)"	ЗХК	Живопись-масло-студия-Сонет ЗХК
3637_18_56	Разбавитель №1, уайтспирит, флакон п/э 220мл	ЗХК	ВС масло растворители очистители
3638_20_1	Кисть колонок круглая d=3,3мм L=17мм сер.1105-1 №10	ХМ	Кисти-Акварель-Колонок-Соболь
3639_2_3	"Кисть синтетика овальная b=6,40мм L=12мм ""Галерея"" серия 206 №06"	Гамма	Кисти-Масло-Синтетика
3640_2_53	"Масло краска ""Старый Мастер"", туба 46мл сер.2 кадмий оранжевый (цв.№108)"	Гамма	Живопись-масло-профи-Старый Мастер Гамма
3641_79_182	Холст на подрамнике лен, мелкозернистый 20х30см	Круглов А.Г.	Основы-холст на подрамнике-Базовый
3642_18_106	"Акрил ""Ладога"", банка 100мл сер.1 сажа газовая (цв.№801)"	ЗХК	Живопись-Акрил студия - Ладога ЗХК банка
3643_2_18	Акрил художественный, туба 46мл сер.1 сиена жженая (цв.№110)	Гамма	Живопись-Акрил студия - художественный  ГлянцевыйГамма европодвес
3644_2_53	"Масло краска ""Старый Мастер"", туба 46мл сер.2 кадмий желтый средний (цв.№103)"	Гамма	Живопись-масло-профи-Старый Мастер Гамма
3645_14_20	"Бумага дизайнерская 240г/кв.м, 700х500мм, ""Balkis"" белый натуральный"	Lana	Бумага дизайнерская-тонированая, листы
3646_125_11	Калька под карандаш 0,65г/м.кв 0,42х10м в рулоне	Мордовия-Пром	Бумага техническая-калька
3647_43_96	Кисть белка круглая №0	Ворс	Кисти-Универсальные-Белка
3648_2_1	"Кисть колонок плоская ""Маэстро"" серия 424 №04"	Гамма	Кисти-Акварель-Колонок-Соболь
3649_2_34	"Набор акварели ""Студия"", (12цв.по 2.5мл), полусухая; картон.упаковка"	Гамма	Живопись-акварель-наборы
3650_54_177	Белый мел для стекла и гладких поверхностей	Lyra	Графические материалы-специальные- по стеклу (пластику, фарфору)
3651_9_61	Ластик каучуковый 7041В-60, для чернографитовых карандашей	Faber-Castell	Графические материалы-инструменты-ластики
3652_19_25	"Набор бумаги для черчения 200г/кв.м, 210х297мм, 10л ""Black"""	СПБФ Гознака	Бумага-вывод-Альбомы,блокноты,блоки,склейки,папки
3653_33_281	Набор сангины, сепии (5шт.), блист. упаковка	Подольск Арт-Центр	Графические материалы-мягкие прочие-сангина, сепия, мел
3654_54_130	"Чернограф.карандаш 3B ""Art Design"""	Lyra	Графические материалы-чернографитовые-штуки
3655_2_143	Кисть колонок круглая d=0,96мм L=10мм серия 431 №01	Гамма	Кисти-Универсальные-Колонок
3656_63_138	"Маркер перман.""Edding 780"", кругл. стержень, d:0.8мм, белый"	Edding	Графические материалы-маркеры-маркеры
3657_54_130	"Чернограф.карандаш 5B ""Art Design"""	Lyra	Графические материалы-чернографитовые-штуки
3658_63_138	"Маркер для керамики и дерева ""Eddind 4000"", d:2-4мм, белый"	Edding	Графические материалы-маркеры-маркеры
3659_29_115	"Набор чернограф.карандашей 12шт. 8В-2Н ""Hardtmuth"""	Koh-i-Noor	Графические материалы-чернографитовые-наборы
3660_1_82	Кисть синтетика плоская серия 1322 №18	Живописные кисти	Кисти-Масло, Акрил- Синтетика
3661_98_269	"Книга Боссом М. ""Искусство энкаустики. Как рисовать воском"""	изд. Кристина&К	Литература-Практические руководства по живописи и рисунку-Графика
3662_31_291	"Книга серия МСИ Бишофф Ульрих ""Макс Эрнст"""	изд. Арт-Родник	Литература-Современное иск-во-Монографии
3663_31_291	"Книга серия МСИ Нере Ж. ""Лемпицка"""	изд. Арт-Родник	Литература-Современное иск-во-Монографии
3664_31_238	"Книга серия МСИ Роз-Мари,  Райнер Хаген ""Гойя"""	изд. Арт-Родник	Литература-Мировое иск-во-Монографии
3665_85_176	"Краска для граффити ""Montana"" цв.№1260 шоколадный"	L&G Vertriebs	ДПИ-Направления-Граффити-краски
3666_32_155	Краска по шелку под утюг банка 50мл чёрный цв.№8108	Kreul	ДПИ-Направления-Ткань-краски, контуры
3667_26_61	Ластик- клячка	Eberhard Faber	Графические материалы-инструменты-ластики
3668_45_187	"Пигмент античная медь ""Pearl Ex"", банка п/э 21г"	Jacquard Products	z-Уценка группы 15.12.2009г. Пигменты -вывод
3669_45_187	"Пигмент серебро ""Pearl Ex"", банка п/э 21г"	Jacquard Products	z-Уценка группы 15.12.2009г. Пигменты -вывод
3670_1_89	Кисть белка круглая d=3,0мм L=16мм сер. 1450 №03	Живописные кисти	Кисти-Акварель-Белка
3671_1_89	Кисть белка круглая d=5,0мм L=20мм сер. 1450 №05	Живописные кисти	Кисти-Акварель-Белка
3672_1_2	Кисть колонок круглая пучок: диам.=0,20мм, дл.=1,00мм, серия 1150 №02	Живописные кисти	Кисти-Масло-Колонок
3673_20_143	Кисть колонок круглая серия С-1600 №06	ХМ	Кисти-Универсальные-Колонок
3674_1_91	Кисть щетина овальная b=12,0мм L=17мм сер.1632 №12	Живописные кисти	Кисти-Масло, Акрил- Щетина
3675_63_138	"Маркер для текстиля ""Edding 4600"", d:1мм, черный"	Edding	Графические материалы-маркеры-маркеры
3676_29_130	"Чернограф.карандаш 3B d:7.00мм ""Gold star"""	Koh-i-Noor	Графические материалы-чернографитовые-штуки
3677_29_130	"Чернограф.карандаш 5B d:7.00мм ""Gold star"""	Koh-i-Noor	Графические материалы-чернографитовые-штуки
3678_48_24	Линейка, пластик, прозр., 30см	Proff	Черчение-Линейки
3679_112_138	"Маркер ""Copic Wide"", красный (цв. R29)"	COPIC Markers	Графические материалы-маркеры-маркеры
3680_112_138	"Маркер ""Copic"" двусторонний, голубой морской (цв. BG49)"	COPIC Markers	Графические материалы-маркеры-маркеры
3681_12_51	"Масло краска ""Classico"", туба 60мл, кобальт синий темн имит. (цв.№371)"	Maimeri	Живопись-масло-студия-Classico Maimeri
3682_16_87	"Масло краска ""Oil Master"", туба 60мл, королевский светло-синий (цв.№ 30)"	Ferrario	Живопись-масло-студия-Oil Master Ferrario
3683_41_95	Перо для создания орнамента 70 №1 1/2 TAPE LEONARDT	Manuscript pen company	ДПИ-Направления-Каллиграфия-перья, кисти
3684_41_95	Перо для создания орнамента 70 №4 TAPE LEONARDT	Manuscript pen company	ДПИ-Направления-Каллиграфия-перья, кисти
3685_41_95	Перо плакатное №15 HIRO LEONARDT	Manuscript pen company	ДПИ-Направления-Каллиграфия-перья, кисти
3686_82_183	Чернила для каллиграфии голубой цв.№460 флакон 50мл	Rohrer&Klingner	ДПИ-Направления-Каллиграфия-тушь, чернила
3687_2_216	Акрил интерферентный, туба 46 мл, красный (цв.№809)	Гамма	Живопись-Акрил декоративный - Интерферентный Гамма
3688_2_18	Акрил художественный, туба 46мл сер.1 ультрамарин (цв.№417)	Гамма	Живопись-Акрил студия - художественный  ГлянцевыйГамма европодвес
3689_1_2	Кисть колонок круглая пучок: диам.=0,08мм, дл.=0,60мм, серия 1150 №0	Живописные кисти	Кисти-Масло-Колонок
3690_32_5	"Краска по стеклу ""Glass Design"",cер.""Hobby Line"", флакон 80мл, черный цв.№42723"	Kreul	z-Уценка
3691_12_72	"Краска по стеклу ""Idea"" цв.№118 жёлтый темный банка 60мл"	Maimeri	ДПИ-Направления-Стекло-Краски, контуры
3692_12_72	"Краска по стеклу ""Idea"" цв.№202 розовый банка 60мл"	Maimeri	ДПИ-Направления-Стекло-Краски, контуры
3693_12_72	"Краска по стеклу ""Idea"" цв.№311 зелёный светлый банка 60мл"	Maimeri	ДПИ-Направления-Стекло-Краски, контуры
3694_56_72	"Краска по стеклу с эффектом ""морозного стекла"" банка 50мл"	Marabu	ДПИ-Направления-Стекло-Краски, контуры
3695_32_71	"Лента для имитации витражей ""Bleibander"" шир. 6мм пакет п/э"	Kreul	ДПИ-Направления-Стекло-ВС
3696_12_7	"Удалено Медиум для краски по стеклу ""Idea"" , банка 60мл, №700"	Maimeri	z-Неликвиды прочие
3697_10_120	"Карандаш акварельный ""Watercolour"", (№63) , красный веницианский"	Derwent	Графические материалы-акварельные-штуки
3698_104_261	Рейсшина прозрачная для подвешивания на нить, канавка, 70см	Domingo Ferrer	Черчение-Рейсшины
3699_12_309	"Грунт-левкас ""Idea"", банка стекло 125мл"	Maimeri	ВС золочение грунты
3700_16_55	Паста бронза жидкая, банка стекло 40мл, медь (цв.№ 6)	Ferrario	ВС прочие - расформировать
3701_9_120	"Карандаш акварельный ""Albrecht Durer"", (№173), оливково-зеленый желтоватый"	Faber-Castell	Графические материалы-акварельные-штуки
3702_9_120	"Карандаш акварельный ""Albrecht Durer"", (№177), грецкий орех"	Faber-Castell	Графические материалы-акварельные-штуки
